AM J PSYCHOL
BEHAV RES METHODS
BEHAV BRAIN SCI
BRAIN LANG
BRIT J PSYCHOL
COGN LINGUIST
COGN SYST RES
COGNITION
COGNITIVE PSYCHOL
COGNITIVE SCI
COMPUT EDUC
COMPUT HUM BEHAV
CONTEMP EDUC PSYCHOL
DEV PSYCHOL
DEVELOPMENTAL SCI
EDUC PSYCHOL REV
ETR&D-EDUC TECH RES
INT J HUM-COMPUT ST
INT J SCI EDUC
J CHILD LANG
J COGNITIVE NEUROSCI
J EDUC PSYCHOL
J ENG EDUC
J EXP PSYCHOL GEN
J EXP PSYCHOL HUMAN
J EXP PSYCHOL LEARN
J LEARN SCI
J MEM LANG
J PERS SOC PSYCHOL
LANG COGNITIVE PROC
LEARN INSTR
MEM COGNITION
PSYCHOL BULL
PSYCHOL LEARN MOTIV
PSYCHOL REV
PSYCHOL SCI
PSYCHON B REV
Q J EXP PSYCHOL
THINK REASONING
TRENDS COGN SCI
