,0,1,2,3,4,5,6,7,8,9
0,LECT NOTES COMPUT SC,P NATL ACAD SCI USA,BRAIN RES,NATURE,J PERS SOC PSYCHOL,AM J PSYCHOL,SCIENCE,ARTIF INTELL,CEREB CORTEX,BEHAV BRAIN SCI
1,,,,,PSYCHOL BULL,BEHAV RES METHODS,,COGN SYST RES,COGNITION,BRAIN LANG
2,,,,,,BRIT J PSYCHOL,,INT J HUM-COMPUT ST,CONTEMP EDUC PSYCHOL,COGN LINGUIST
3,,,,,,COGNITIVE SCI,,INTERACT STUD,EDUC PSYCHOL REV,COGNITIVE PSYCHOL
4,,,,,,J EXP PSYCHOL LEARN,,J CHILD LANG,INT J SCI EDUC,COMPUT EDUC
5,,,,,,J MEM LANG,,LECT NOTES ARTIF INT,J COGNITIVE NEUROSCI,COMPUT HUM BEHAV
6,,,,,,LANG COGNITIVE PROC,,MIND MACH,J EDUC PSYCHOL,DEV PSYCHOL
7,,,,,,MEM COGNITION,,NEUROCOMPUTING,J ENG EDUC,DEVELOPMENTAL SCI
8,,,,,,PSYCHOL LEARN MOTIV,,,J LEARN SCI,ETR&D-EDUC TECH RES
9,,,,,,PSYCHOL REV,,,LEARN INSTR,J EXP PSYCHOL GEN
10,,,,,,PSYCHON B REV,,,PHILOS T R SOC B,J EXP PSYCHOL HUMAN
11,,,,,,THINK REASONING,,,TRENDS COGN SCI,MED EDUC
12,,,,,,,,,,PSYCHOL SCI
13,,,,,,,,,,Q J EXP PSYCHOL
14,,,,,,,,,,REV SIGNOS
