Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,Rest
76,0.958,INTERACT STUD,12,0,0,0,0,1,1,2,1,0,1,6
77,3.047,J ENG EDUC,12,0,0,1,0,0,0,0,0,0,0,11
78,1.080,J SCI EDUC TECHNOL,12,0,0,0,0,2,0,0,0,0,1,9
79,3.119,PSYCHOL RES-PSYCH FO,12,0,1,0,2,1,0,0,1,0,0,7
80,,CURR OPIN BEHAV SCI,11,0,4,1,0,1,0,0,0,1,1,3
81,1.723,NEW IDEAS PSYCHOL,11,0,0,0,1,0,0,2,0,1,0,7
82,2.218,WIRES COGN SCI,11,0,0,1,0,1,2,0,0,1,0,6
83,,ACM T COMPUT-HUM INT,10,0,0,0,0,0,0,0,0,0,0,10
84,1.906,CHEM EDUC RES PRACT,10,0,0,0,0,2,0,1,0,0,0,7
85,1.444,COGNITIVE DEV,10,0,0,1,0,0,0,2,0,0,0,7
86,1.279,EARLY EDUC DEV,10,0,0,2,0,0,0,0,0,4,0,4
87,6.257,EDUC PSYCHOL-US,10,0,0,1,0,0,0,0,1,0,0,8
88,0.903,EURASIA J MATH SCI T,10,0,0,0,0,0,0,0,1,0,0,9
89,,FRONT NEUROSCI-SWITZ,10,0,0,0,0,0,0,0,0,1,2,7
90,1.352,J PHONETICS,10,0,0,0,0,0,2,1,2,0,0,5
91,0.669,LANG SCI,10,0,0,0,0,0,0,3,2,0,1,4
92,,PROC FRONT EDUC CONF,10,0,0,0,0,0,0,0,0,0,1,9
93,,SPRINGER PR COMPLEX,10,0,0,1,0,0,1,1,0,0,2,5
94,2.439,BRAIN LANG,9,0,1,0,0,0,0,0,0,1,1,6
95,4.604,DEVELOPMENTAL SCI,9,0,0,3,0,0,0,2,1,0,0,3
96,1.310,EDUC PSYCHOL-UK,9,0,0,0,0,0,0,1,0,0,0,8
97,,FRONT ROBOT AI,9,0,0,0,0,0,0,0,0,2,1,6
98,,J ACOUST SOC AM,9,0,0,1,0,0,0,0,1,3,0,4
99,2.850,J APPL RES MEM COGN,9,0,1,1,0,0,0,1,0,0,0,6
100,,J COGN SCI,9,0,0,0,1,0,1,0,0,1,0,6
101,3.179,J RES SCI TEACH,9,0,0,1,0,0,1,0,0,1,0,6
102,,P 2016 ACM C INT,9,0,0,0,0,1,0,0,0,0,0,8
103,,PHILOS T R SOC B,9,1,1,0,1,0,0,1,0,1,0,4
104,,PROCEDIA COMPUT SCI,9,0,0,0,0,0,0,0,0,0,1,8
105,,ADV INTELL SYST,8,0,0,0,0,0,0,1,0,0,1,6
106,0.629,AM J PSYCHOL,8,0,0,0,0,0,0,0,0,1,1,6
107,19.950,ANNU REV PSYCHOL,8,0,0,2,1,0,0,2,0,0,0,3
108,1.866,APPL ERGON,8,0,0,0,0,0,0,0,0,0,0,8
109,,ARTIF INTELL,8,0,0,0,1,0,0,1,2,0,0,4
110,,BIOL INSPIR COGN ARC,8,0,1,0,0,0,0,0,0,1,0,6
111,1.196,FIRST LANG,8,0,1,0,1,2,1,0,0,0,1,2
112,0.974,INT J BILINGUAL,8,0,0,0,1,3,1,0,0,0,0,3
