Cited Journal Data: COMPUTERS ,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
75,,COMPUT SCI INF SYST,12,0,1,0,2,3,2,3,0,0,1,0
76,2.452,EDUC RES REV-NETH,12,0,1,0,6,1,2,0,1,1,0,0
77,1.621,LEARN INDIVID DIFFER,12,1,1,1,1,3,1,1,1,0,0,2
78,0.667,TEACH PSYCHOL,12,0,0,2,3,3,1,3,0,0,0,0
79,,2014 INT C COMP INF,11,0,0,0,1,1,2,2,1,2,1,1
80,0.222,ANTHROPOLOGIST,11,1,3,2,0,2,0,0,0,0,0,3
81,0.610,ASSESS EVAL HIGH EDU,11,0,0,1,2,0,2,4,1,0,1,0
82,0.053,CULT EDUC,11,0,2,4,0,2,1,0,2,0,0,0
83,,INT J ENV RES PUB HE,11,1,1,5,0,1,0,2,0,1,0,0
84,0.473,INT J INCLUSIVE EDUC,11,0,0,2,4,0,0,1,1,0,0,3
85,,INT J TECHNOL DES ED,11,0,0,3,2,0,1,1,2,1,0,1
86,,NURSE EDUC PRACT,11,0,1,2,1,4,0,0,0,0,0,3
87,1.218,BMC MED EDUC,10,0,1,0,1,1,1,1,3,0,0,2
88,1.206,COLL RES LIBR,10,0,0,0,1,4,3,1,0,0,0,1
89,1.088,ENVIRON EDUC RES,10,0,0,0,0,2,4,2,0,0,1,1
90,,IND MANAGE DATA SYST,10,1,2,3,2,1,1,0,0,0,0,0
91,,J ASSOC INF SCI TECH,10,0,0,0,2,4,2,1,0,1,0,0
92,,J INTERNET TECHNOL,10,0,1,0,2,3,0,1,2,0,0,1
93,,NEW REV HYPERMEDIA M,10,0,0,2,0,4,2,1,1,0,0,0
94,0.942,SUSTAINABILITY-BASEL,10,5,2,1,0,0,1,1,0,0,0,0
95,,WORLD WIDE WEB,10,0,0,1,2,2,1,3,0,1,0,0
96,,ADV MATER RES-SWITZ,9,0,0,1,1,2,1,2,0,0,0,2
97,0.504,AN PSICOL-SPAIN,9,0,1,1,0,0,0,1,2,3,0,1
98,0.067,CADMO,9,0,0,3,2,1,1,2,0,0,0,0
99,0.044,CROAT J EDUC,9,0,0,0,0,4,0,2,0,0,0,3
100,,DIGIT CREAT,9,0,1,0,4,3,1,0,0,0,0,0
101,1.865,INFORM MANAGE-AMSTER,9,0,0,2,2,3,0,1,1,0,0,0
102,,J COMPUT INFORM SYST,9,0,0,1,2,2,2,1,0,0,1,0
103,2.312,J LEARN SCI,9,0,2,1,1,1,0,1,0,1,0,2
104,3.162,J RES SCI TEACH,9,0,1,1,1,2,1,2,0,0,0,1
105,0.598,LIBR HI TECH,9,0,2,1,2,2,0,1,0,0,1,0
106,0.720,QUAL QUANT,9,0,0,2,2,0,0,0,0,1,0,4
107,2.825,SCI EDUC,9,0,0,1,1,1,2,3,0,0,1,0
108,0.721,SYSTEM,9,0,0,0,1,2,3,1,0,0,1,1
109,,5 INT C INF INT,8,0,2,1,2,1,1,0,0,0,1,0
110,,ADV SCI LETT,8,0,0,2,2,1,1,0,2,0,0,0
111,,ASLIB J INFORM MANAG,8,0,1,1,2,1,2,0,0,0,1,0
112,2.182,CYBERPSYCH BEH SOC N,8,0,2,0,0,3,0,0,0,0,0,3
113,,FUTURE GENER COMP SY,8,0,0,0,3,1,1,0,0,0,0,3
114,0.911,HIGH EDUC RES DEV,8,0,0,0,0,1,2,3,0,1,0,1
115,0.455,J HOSP LEIS SPORT TO,8,0,0,2,2,1,0,2,0,1,0,0
116,,J MED INTERNET RES,8,1,2,4,0,0,1,0,0,0,0,0
117,3.585,LEARN INSTR,8,0,4,1,2,0,0,0,0,1,0,0
118,,LECT NOTES ARTIF INT,8,0,1,3,1,0,1,0,0,0,1,1
119,,P 2014 11 TECHN,8,0,3,2,0,1,0,0,0,1,0,1
120,1.120,TELEMAT INFORM,8,0,0,0,0,4,0,0,1,0,1,2
121,,ADV INTELL SYST,7,0,0,0,1,2,1,1,1,0,1,0
122,0.216,AUST J ADULT LEARN,7,0,0,0,0,1,3,2,1,0,0,0
123,0.758,CIN-COMPUT INFORM NU,7,0,0,0,0,1,2,2,1,0,1,0
124,,COMPUT SECUR,7,0,1,1,2,0,2,1,0,0,0,0
125,,ENG COMPUTATION,7,0,0,2,2,2,0,1,0,0,0,0
126,0.384,INNOV EDUC TEACH INT,7,0,0,0,2,0,3,2,0,0,0,0
127,,J CHEM EDUC,7,0,0,3,0,0,1,0,1,0,0,2
128,,J INF SCI ENG,7,0,0,0,0,1,0,3,0,1,1,1
129,,J VET MED EDUC,7,0,1,2,0,0,1,1,1,0,0,1
130,,PROC KNOWL MAN INT,7,0,0,3,0,0,1,0,0,0,0,3
131,,PROCEDIA COMPUT SCI,7,0,2,1,1,1,0,0,1,0,0,1
132,,ANAT SCI EDUC,6,0,0,2,1,2,0,0,0,0,0,1
133,0.438,AUST EDUC RES,6,0,1,0,0,2,0,0,1,0,0,2
134,0.216,AUST J EDUC,6,0,0,2,1,1,1,0,0,0,0,1
135,1.175,COLLEGIAN,6,0,0,0,0,3,3,0,0,0,0,0
136,,HIST COMUN SOC,6,0,0,3,2,1,0,0,0,0,0,0
137,,INT J DISTRIB SENS N,6,0,2,1,1,2,0,0,0,0,0,0
138,,J NETW COMPUT APPL,6,0,1,1,0,0,2,0,0,1,0,1
139,,LECT NOTES ELECTR EN,6,0,0,1,0,3,1,0,1,0,0,0
140,1.708,METACOGN LEARN,6,0,0,3,0,0,0,1,0,2,0,0
141,1.433,PHYS REV SPEC TOP-PH,6,0,4,0,0,0,0,0,0,0,0,2
142,1.378,RECALL,6,0,0,0,0,0,2,3,1,0,0,0
143,1.090,SCAND J OCCUP THER,6,0,0,0,0,0,0,0,5,0,0,1
144,,VIS 2020 SUST,6,0,1,0,0,1,0,1,0,0,1,2
145,,ADV PHYSIOL EDUC,5,0,1,1,1,1,0,0,1,0,0,0
146,,APPL ENERG,5,0,1,0,1,0,0,1,1,0,0,1
147,2.091,CHEM EDUC RES PRACT,5,0,1,1,0,0,0,1,1,1,0,0
148,1.025,CHILD LANG TEACH THE,5,0,0,1,0,3,0,0,0,0,0,1
