Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
76, ,HONOR WILLIAM WANG I,2,0,0,0,0,0,0,0,0,0,0,2
77, ,IN PRESS CROSSLINGUI,2,0,0,0,0,0,0,0,0,0,0,2
78, ,INT J AM LINGUIST,2,0,0,0,1,0,0,0,0,0,0,1
79,0.788,J LINGUIST,2,0,0,0,0,0,0,0,0,0,0,2
80, ,J SEMANTICS,2,0,0,0,0,0,0,0,1,0,0,1
81,0.757,LANG SPEECH,2,0,0,0,0,0,0,0,0,0,0,2
82, ,LANGUAGE CULT MIN,2,0,0,0,2,0,0,0,0,0,0,0
83, ,LANGUAGE METAPHORS,2,0,0,0,0,0,0,0,0,0,0,2
84, ,LANGUAGE SOC SEMI,2,0,0,0,0,0,0,0,0,0,0,2
85, ,LANGUAGE SPACE,2,0,0,0,0,0,0,0,0,0,0,2
86, ,LEARNABILITY COGNITI,2,0,0,0,0,0,0,0,0,0,0,2
87,1.462,LINGUIST INQ,2,0,0,0,0,0,0,0,0,0,0,2
88, ,LINGUIST TYPOLOGY,2,0,0,0,0,0,0,1,0,0,1,0
89, ,METAPHOR COGNITIVE L,2,0,0,0,0,0,0,0,0,2,0,0
90, ,METAPHOR CORPUS LING,2,0,0,2,0,0,0,0,0,0,0,0
91, ,METAPHOR METONYMY CO,2,0,0,0,0,2,0,0,0,0,0,0
92, ,METAPHOR METONYMY CR,2,0,0,0,0,0,0,0,2,0,0,0
93, ,METAPHOR POLIT D,2,0,0,0,2,0,0,0,0,0,0,0
94, ,METAPHOR SYMB ACT,2,0,0,0,0,0,0,0,0,0,0,2
95, ,MONOSEMY STUDY LINGU,2,0,0,0,0,0,0,0,0,0,0,2
96, ,MORPHOLOGY STUDY REL,2,0,0,0,0,0,0,0,0,0,0,2
97,3.630,NEUROPSYCHOLOGIA,2,0,0,0,1,1,0,0,0,0,0,0
98, ,NEW PSYCHOL LANGUAGE,2,0,0,0,0,0,1,0,0,0,1,0
99, ,P 26 ANN M COGN SCI,2,0,0,0,2,0,0,0,0,0,0,0
100, ,PAP LAB PHONOLOGY,2,0,0,0,0,1,0,0,1,0,0,0
101, ,PHONOLOGY LANGUAGE U,2,0,0,0,0,0,0,2,0,0,0,0
102, ,POLYSEMY FLEXIBLE PA,2,0,0,0,0,2,0,0,0,0,0,0
103, ,READ ENGL TRANSFORM,2,0,0,0,0,0,0,0,0,0,0,2
104, ,REGULARITY SEMANTIC,2,0,0,0,0,0,1,1,0,0,0,0
105, ,RES APPLYING METAPHO,2,0,0,0,0,0,0,0,0,2,0,0
106, ,ROA,2,0,0,0,0,0,0,0,0,0,0,2
107, ,SEMIOTICA,2,0,1,0,1,0,0,0,0,0,0,0
108, ,SUBORDINATION,2,0,0,0,0,2,0,0,0,0,0,0
109, ,SYNTACTIC CATEGORIES,2,0,0,0,0,0,0,0,0,0,0,2
110, ,SYNTAX SEMANTICS,2,0,0,0,0,0,0,0,0,0,0,2
111, ,TALKER VARIABILITY S,2,0,0,0,0,0,0,0,0,0,0,2
112, ,THEOR APPL CORRESPO,2,0,0,0,0,0,0,0,0,0,0,2
113, ,THESIS,2,0,0,0,0,0,0,0,0,0,2,0
114, ,THESIS U MANCHESTER,2,0,0,1,0,1,0,0,0,0,0,0
115, ,TOPICS COGNITIVE LIN,2,0,0,0,0,0,0,0,1,0,0,1
116, ,TOPICS ENGLISH LINGU,2,0,0,0,0,0,0,0,1,0,0,1
117, ,TRENDS LINGUISTICS S,2,0,1,1,0,0,0,0,0,0,0,0
118, ,UNDERSTANDING GRAMMA,2,0,0,0,0,0,0,0,0,0,0,2
119, ,VIEW MIDDLE,2,0,0,0,0,0,0,0,0,0,0,2
120, ,WORD,2,0,0,0,0,0,0,0,0,0,0,2
121, ,WORDS PHRASES CORPUS,2,0,0,0,0,0,0,2,0,0,0,0
122, ,WORKING PAP CORNE,2,0,0,0,0,1,0,0,0,0,0,1
123, ,WORLD LEXICON GRAMMA,2,0,0,0,0,0,2,0,0,0,0,0
124, ,YB S ASIAN LANGUAGES,2,0,0,0,0,0,0,2,0,0,0,0
125, ,ZHONGGUO YUWEN,2,0,0,0,0,0,0,0,0,0,0,2
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
