,ACAD MED.csv,ADV CHILD DEV BEHAV.csv,AM J PRIMATOL.csv,AM J PSYCHOL.csv,AM PSYCHOL.csv,ANIM BEHAV.csv,ARTIF INTELL REV.csv,ARTIF INTELL.csv,BEHAV BRAIN SCI.csv,BEHAV PROCESS.csv,BEHAVIOUR.csv,BRIT J PSYCHOL.csv,CHILD DEV.csv,COGNITION INSTRUCT.csv,COGNITION.csv,COGNITIVE PSYCHOL.csv,COGNITIVE SCI.csv,COMPUT INTELL.csv,CONNECT SCI.csv,CONTEMP EDUC PSYCHOL.csv,DEV PSYCHOL.csv,DEV REV.csv,EUR J COGN PSYCHOL.csv,EXPERT SYST.csv,HUM FACTORS.csv,INT J HUM-COMPUT ST.csv,INT J PRIMATOL.csv,INT J SCI EDUC.csv,J AM SOC INFORM SCI.csv,J APPL DEV PSYCHOL.csv,J CHILD LANG.csv,J COMP PSYCHOL.csv,J COMPUT ASSIST LEAR.csv,J EDUC PSYCHOL.csv,J EXP PSYCHOL ANIM B.csv,J EXP PSYCHOL GEN.csv,J EXP PSYCHOL LEARN.csv,J HUM EVOL.csv,J LEARN SCI.csv,J MEM LANG.csv,J PERS SOC PSYCHOL.csv,J PRAGMATICS.csv,J PSYCHOLINGUIST RES.csv,J RES SCI TEACH.csv,LANG COGNITIVE PROC.csv,LEARN INSTR.csv,LECT NOTES ARTIF INT.csv,LECT NOTES COMPUT SC.csv,MACH LEARN.csv,MEM COGNITION.csv,MIND MACH.csv,MONOGR SOC RES CHILD.csv,NATURE.csv,NEURAL COMPUT.csv,NEUROCOMPUTING.csv,ORGAN BEHAV HUM DEC.csv,P NATL ACAD SCI USA.csv,PHILOS PSYCHOL.csv,PRIMATES.csv,PSYCHOL REV.csv,PSYCHOL SCI.csv,PSYCHON B REV.csv,SCIENCE.csv,TRAV HUMAIN.csv,USER MODEL USER-ADAP.csv
ORGAN BEHAV HUM DEC.csv,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,6.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,24.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,63.0,9.0,2.0,19.0,0.0,0.0
P NATL ACAD SCI USA.csv,0.0,0.0,6.0,10.0,2.0,61.0,0.0,0.0,9.0,0.0,7.0,5.0,7.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,4.0,15.0,42.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4930.0,18.0,0.0,0.0,7915.0,0.0,2.0,22.0,8.0,4.0,4730.0,0.0,0.0
PHILOS PSYCHOL.csv,0.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,22.0,0.0,0.0,0.0,10.0,0.0,11.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,10.0,0.0,13.0,4.0,0.0,11.0,0.0,0.0
PRIMATES.csv,0.0,0.0,66.0,0.0,0.0,56.0,0.0,0.0,3.0,3.0,37.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,12.0,0.0,111.0,0.0,0.0,0.0,13.0,0.0,0.0
PSYCHOL REV.csv,0.0,0.0,0.0,14.0,14.0,5.0,0.0,2.0,15.0,4.0,0.0,13.0,26.0,0.0,55.0,59.0,16.0,0.0,6.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,30.0,113.0,0.0,0.0,37.0,138.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,76.0,0.0,2.0,19.0,4.0,0.0,49.0,12.0,0.0,0.0,306.0,20.0,20.0,38.0,0.0,0.0
PSYCHOL SCI.csv,0.0,4.0,0.0,7.0,36.0,6.0,0.0,0.0,14.0,0.0,2.0,9.0,35.0,0.0,37.0,25.0,2.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,9.0,9.0,38.0,36.0,0.0,0.0,22.0,93.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,5.0,51.0,0.0,0.0,4.0,15.0,0.0,0.0,76.0,71.0,18.0,62.0,0.0,0.0
PSYCHON B REV.csv,0.0,0.0,0.0,12.0,8.0,3.0,0.0,0.0,8.0,0.0,0.0,15.0,7.0,0.0,41.0,47.0,8.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,6.0,2.0,56.0,265.0,0.0,0.0,92.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,197.0,36.0,70.0,24.0,0.0,0.0
SCIENCE.csv,0.0,0.0,5.0,2.0,3.0,18.0,0.0,0.0,11.0,2.0,4.0,3.0,8.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.0,15.0,0.0,0.0,1078.0,0.0,2.0,15.0,3.0,3.0,3233.0,0.0,0.0
TRAV HUMAIN.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
USER MODEL USER-ADAP.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23.0
