,ACAD MED.csv,ADV CHILD DEV BEHAV.csv,AM J PRIMATOL.csv,AM J PSYCHOL.csv,AM PSYCHOL.csv,ANIM BEHAV.csv,ARTIF INTELL REV.csv,ARTIF INTELL.csv,BEHAV BRAIN SCI.csv,BEHAV PROCESS.csv,BEHAVIOUR.csv,BRIT J PSYCHOL.csv,CHILD DEV.csv,COGNITION INSTRUCT.csv,COGNITION.csv,COGNITIVE PSYCHOL.csv,COGNITIVE SCI.csv,COMPUT INTELL.csv,CONNECT SCI.csv,CONTEMP EDUC PSYCHOL.csv,DEV PSYCHOL.csv,DEV REV.csv,EUR J COGN PSYCHOL.csv,EXPERT SYST.csv,HUM FACTORS.csv,INT J HUM-COMPUT ST.csv,INT J PRIMATOL.csv,INT J SCI EDUC.csv,J AM SOC INFORM SCI.csv,J APPL DEV PSYCHOL.csv,J CHILD LANG.csv,J COMP PSYCHOL.csv,J COMPUT ASSIST LEAR.csv,J EDUC PSYCHOL.csv,J EXP PSYCHOL ANIM B.csv,J EXP PSYCHOL GEN.csv,J EXP PSYCHOL LEARN.csv,J HUM EVOL.csv,J LEARN SCI.csv,J MEM LANG.csv,J PERS SOC PSYCHOL.csv,J PRAGMATICS.csv,J PSYCHOLINGUIST RES.csv,J RES SCI TEACH.csv,LANG COGNITIVE PROC.csv,LEARN INSTR.csv,LECT NOTES ARTIF INT.csv,LECT NOTES COMPUT SC.csv,MACH LEARN.csv,MEM COGNITION.csv,MIND MACH.csv,MONOGR SOC RES CHILD.csv,NATURE.csv,NEURAL COMPUT.csv,NEUROCOMPUTING.csv,ORGAN BEHAV HUM DEC.csv,P NATL ACAD SCI USA.csv,PHILOS PSYCHOL.csv,PRIMATES.csv,PSYCHOL REV.csv,PSYCHOL SCI.csv,PSYCHON B REV.csv,SCIENCE.csv,TRAV HUMAIN.csv,USER MODEL USER-ADAP.csv
BEHAVIOUR.csv,0.0,0.0,17.0,0.0,0.0,376.0,0.0,0.0,0.0,14.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,7.0,0.0,6.0,3.0,0.0,0.0,29.0,0.0,0.0
BRIT J PSYCHOL.csv,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,30.0,4.0,0.0,12.0,12.0,5.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,6.0,21.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,10.0,6.0,6.0,0.0,0.0
CHILD DEV.csv,0.0,10.0,0.0,0.0,55.0,6.0,0.0,0.0,13.0,0.0,0.0,6.0,594.0,0.0,42.0,23.0,3.0,0.0,0.0,0.0,275.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,46.0,0.0,0.0,13.0,0.0,14.0,6.0,0.0,0.0,9.0,73.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,67.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0,21.0,5.0,21.0,0.0,0.0
COGNITION INSTRUCT.csv,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,27.0,7.0,12.0,12.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,22.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0
COGNITION.csv,0.0,2.0,0.0,10.0,5.0,5.0,0.0,0.0,28.0,0.0,0.0,11.0,49.0,8.0,177.0,64.0,24.0,0.0,2.0,0.0,28.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,6.0,0.0,7.0,0.0,14.0,46.0,0.0,0.0,55.0,7.0,0.0,11.0,0.0,13.0,0.0,0.0,0.0,0.0,37.0,1.0,11.0,27.0,0.0,0.0,0.0,3.0,0.0,2.0,97.0,25.0,14.0,25.0,0.0,0.0
COGNITIVE PSYCHOL.csv,0.0,0.0,0.0,7.0,11.0,0.0,0.0,5.0,10.0,0.0,0.0,7.0,5.0,0.0,42.0,45.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,43.0,0.0,0.0,27.0,5.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,71.0,9.0,6.0,12.0,0.0,0.0
COGNITIVE SCI.csv,0.0,0.0,15.0,10.0,8.0,40.0,0.0,7.0,33.0,7.0,11.0,8.0,23.0,5.0,20.0,19.0,35.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,7.0,64.0,0.0,0.0,13.0,7.0,14.0,8.0,2.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,13.0,0.0,0.0,14.0,7.0,0.0,18.0,34.0,9.0,2.0,21.0,0.0,2.0
COMPUT INTELL.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONNECT SCI.csv,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,13.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,7.0,0.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
CONTEMP EDUC PSYCHOL.csv,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,10.0,12.0,0.0,0.0,38.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,121.0,0.0,0.0,11.0,0.0,0.0,0.0,32.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,2.0,0.0,0.0
DEV PSYCHOL.csv,0.0,3.0,0.0,0.0,31.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,489.0,0.0,46.0,19.0,5.0,0.0,0.0,0.0,294.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,0.0,0.0,15.0,0.0,5.0,11.0,0.0,0.0,7.0,67.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,30.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,11.0,4.0,23.0,0.0,0.0
DEV REV.csv,0.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,139.0,4.0,19.0,17.0,10.0,0.0,0.0,2.0,76.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,24.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,2.0,2.0,35.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,8.0,0.0,0.0
EUR J COGN PSYCHOL.csv,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,4.0,0.0,18.0,19.0,6.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,69.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,9.0,0.0,0.0,6.0,3.0,0.0,0.0,42.0,0.0,8.0,10.0,0.0,0.0
EXPERT SYST.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,2.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,7.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
HUM FACTORS.csv,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,2.0,0.0,8.0,3.0,0.0
INT J HUM-COMPUT ST.csv,0.0,0.0,0.0,0.0,3.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,13.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,46.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,2.0,0.0,18.0,4.0,22.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,19.0,0.0,0.0,7.0,3.0,4.0
INT J PRIMATOL.csv,0.0,0.0,118.0,0.0,0.0,76.0,0.0,0.0,2.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,0.0,98.0,0.0,0.0,0.0,20.0,0.0,0.0
INT J SCI EDUC.csv,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,19.0,2.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,3.0,0.0,21.0,2.0,0.0,0.0,0.0,171.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0
J AM SOC INFORM SCI.csv,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,367.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,3.0,0.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,34.0,1.0,2.0
J APPL DEV PSYCHOL.csv,0.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,5.0,0.0,5.0,6.0,0.0,0.0,0.0,77.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,2.0,0.0,24.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0
J CHILD LANG.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,29.0,0.0,33.0,5.0,5.0,0.0,0.0,0.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,2.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,0.0,0.0
J COMP PSYCHOL.csv,0.0,0.0,13.0,3.0,4.0,88.0,0.0,0.0,11.0,10.0,24.0,0.0,17.0,0.0,11.0,4.0,2.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,7.0,128.0,0.0,0.0,29.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,7.0,0.0,36.0,9.0,7.0,2.0,25.0,0.0,0.0
J COMPUT ASSIST LEAR.csv,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,16.0,0.0,3.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
J EDUC PSYCHOL.csv,0.0,0.0,0.0,3.0,25.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,96.0,24.0,15.0,12.0,8.0,0.0,0.0,26.0,59.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,316.0,0.0,9.0,16.0,0.0,4.0,18.0,47.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,15.0,0.0,4.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,27.0,5.0,2.0,13.0,0.0,0.0
J EXP PSYCHOL ANIM B.csv,0.0,0.0,0.0,5.0,2.0,19.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,138.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,11.0,3.0,16.0,0.0,0.0
J EXP PSYCHOL GEN.csv,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,20.0,0.0,0.0,14.0,5.0,0.0,24.0,46.0,5.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,69.0,92.0,0.0,0.0,34.0,36.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,14.0,2.0,0.0,4.0,3.0,0.0,0.0,95.0,21.0,32.0,22.0,0.0,0.0
J EXP PSYCHOL LEARN.csv,0.0,0.0,0.0,45.0,18.0,0.0,0.0,4.0,26.0,0.0,0.0,43.0,10.0,0.0,87.0,126.0,24.0,0.0,4.0,3.0,12.0,2.0,15.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,153.0,676.0,0.0,0.0,192.0,38.0,0.0,9.0,0.0,17.0,0.0,0.0,0.0,2.0,301.0,0.0,0.0,17.0,3.0,0.0,21.0,15.0,0.0,0.0,360.0,45.0,71.0,42.0,0.0,0.0
J HUM EVOL.csv,0.0,0.0,20.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,26.0,0.0,16.0,0.0,0.0,0.0,118.0,0.0,0.0
J LEARN SCI.csv,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J MEM LANG.csv,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,22.0,0.0,0.0,13.0,4.0,0.0,79.0,59.0,14.0,0.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,36.0,257.0,0.0,0.0,235.0,2.0,6.0,15.0,0.0,66.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,22.0,35.0,19.0,0.0,0.0
J PERS SOC PSYCHOL.csv,0.0,0.0,0.0,5.0,126.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,104.0,0.0,6.0,21.0,2.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,10.0,27.0,0.0,0.0,3.0,1886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,6.0,0.0,0.0,53.0,2.0,0.0,0.0,236.0,49.0,4.0,31.0,0.0,0.0
J PRAGMATICS.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,7.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,2.0,7.0,5.0,117.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
J PSYCHOLINGUIST RES.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,51.0,20.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,34.0,0.0,0.0,82.0,4.0,4.0,50.0,0.0,39.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,6.0,0.0,0.0
J RES SCI TEACH.csv,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,11.0,2.0,0.0,7.0,0.0,0.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,3.0,2.0,0.0,0.0,316.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0
LANG COGNITIVE PROC.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,5.0,0.0,45.0,11.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,53.0,0.0,0.0,98.0,0.0,0.0,21.0,0.0,35.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,3.0,6.0,0.0,0.0
