Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
75, ,ROUGH SETS KNOWLEDGE,17,0,0,17,0,0,0,0,0,0,0,0
76, ,ROUGH SETS THEORETIC,17,0,0,0,0,0,0,0,0,1,16,0
77,23.872,SCIENCE,17,0,0,1,1,1,0,0,0,1,0,13
78, ,THEOR COMPUT,17,1,0,0,2,1,2,1,1,1,0,8
79, ,ADAPT BEHAV,16,0,1,1,4,0,2,3,4,1,0,0
80, ,ADAPTATION NATURAL A,16,0,0,0,0,0,0,0,0,6,0,10
81,1.025,KNOWL ENG REV,16,0,0,2,1,3,8,0,2,0,0,0
82, ,LOGIC PROGRAMMING PA,16,0,16,0,0,0,0,0,0,0,0,0
83, ,EVOL COMPUTA,15,0,0,0,2,0,7,2,4,0,0,0
84, ,INDUCTIVE LOGIC PROG,15,0,0,0,0,0,0,4,0,11,0,0
85,3.089,J AM MED INFORM ASSN,15,0,0,10,1,2,1,1,0,0,0,0
86, ,P INT JOINT C ART IN,15,0,1,0,2,0,6,0,1,0,0,5
87, ,ROBOCUP 97 ROBOT SOC,15,0,0,13,1,0,0,0,0,0,0,1
88, ,STUD LOGICA,15,0,0,1,4,1,0,2,0,0,1,6
89,0.702,ACTA INFORM,14,0,0,0,2,0,0,0,1,0,1,10
90, ,COMMUNICATION,14,1,3,1,3,1,1,1,0,0,0,3
91, ,COMP CARD,14,0,0,0,1,4,1,1,1,5,1,0
92, ,ENVIRON BEHAV,14,0,0,0,0,4,0,0,0,0,2,8
93,2.753,J EXP PSYCHOL LEARN,14,0,0,1,1,0,0,0,0,1,0,11
94, ,MACH INTELL,14,0,0,0,0,0,0,0,0,0,0,14
95, ,P IJCAI 97,14,0,0,0,14,0,0,0,0,0,0,0
96,10.789,P NATL ACAD SCI USA,14,0,0,1,0,2,0,0,0,3,1,7
97, ,PROBABILISTIC REASON,14,0,0,0,0,0,0,0,0,0,0,14
98,1.017,APPL ARTIF INTELL,13,0,1,5,1,0,0,2,4,0,0,0
99, ,AUTOMATED DEDUCTION,13,0,0,3,0,0,0,1,3,0,0,6
100,1.185,BIOL CYBERN,13,0,0,0,1,0,0,0,1,0,0,11
101, ,HDB LOGIC ARTIFICIAL,13,0,0,2,0,0,0,5,5,0,1,0
102, ,ROBOTICS AUTONOMOUS,13,0,0,1,1,1,0,0,0,0,3,7
103, ,THESIS STANFORD U,13,0,3,4,1,0,1,1,0,0,0,3
104, ,UCI REPOSITORY MACHI,13,0,2,2,0,1,1,3,0,1,0,3
105,0.923,ACM COMPUT SURV,12,0,0,0,2,0,0,1,0,1,0,8
106,0.465,ANN PURE APPL LOGIC,12,0,1,0,0,0,1,1,1,1,5,2
107, ,COMPUT VISION GRAPH,12,0,0,0,0,0,0,0,0,0,0,12
108, ,INFORM PROCESSI,12,0,0,1,0,0,2,0,0,0,0,9
109,0.417,INT J APPROX REASON,12,0,1,0,1,6,1,0,0,0,1,2
110,1.835,INT J COMPUT VISION,12,0,0,1,0,1,0,0,2,1,2,5
111,0.321,INT J COOP INF SYST,12,0,0,1,7,3,0,0,0,1,0,0
112, ,INT J MAN MACH STUD,12,0,0,0,0,0,0,0,2,0,0,10
113,0.727,INT J ROBOT RES,12,0,0,1,0,0,0,0,0,2,1,8
114, ,J PHILOS LOGIC,12,0,0,4,1,0,0,0,0,0,1,6
115,1.686,J ROY STAT SOC B,12,0,0,1,1,1,0,1,0,0,0,8
116, ,LOGIC J IGPL,12,1,8,1,2,0,0,0,0,0,0,0
117,1.080,PRESENCE-TELEOP VIRT,12,1,3,5,3,0,0,0,0,0,0,0
118, ,THESIS CARNEGIE MELL,12,1,0,1,2,1,0,2,0,0,2,3
119,0.672,AUTON ROBOT,11,0,1,1,7,0,2,0,0,0,0,0
120, ,CLASSIFICATION REGRE,11,0,0,0,0,0,0,1,0,0,0,10
121, ,CVGIP-IMAG UNDERSTAN,11,0,0,0,0,0,0,3,4,3,1,0
122,0.654,IEEE T INFORM THEORY,11,0,0,0,1,1,2,0,0,1,0,6
123,1.746,IEEE T SOFTWARE ENG,11,0,0,2,2,1,1,0,0,0,1,4
124,0.310,INT J PATTERN RECOGN,11,0,2,1,4,1,1,0,2,0,0,0
125, ,J INTELLIGENT INFORM,11,0,0,0,6,1,3,1,0,0,0,0
126,0.929,METHOD INFORM MED,11,0,0,0,0,0,4,1,0,1,2,3
127, ,P 11 ANN C COMP LEAR,11,0,0,11,0,0,0,0,0,0,0,0
128, ,P 3 INT C GEN ALG,11,0,0,0,0,0,0,0,0,0,0,11
129, ,P 6 INT C PRINC KNOW,11,0,0,11,0,0,0,0,0,0,0,0
130, ,P NAT C ART INT AAAI,11,0,1,1,2,1,0,0,0,1,0,5
131,0.346,PATTERN RECOGN LETT,11,0,0,0,4,2,2,0,0,0,0,3
132, ,REINFORCEMENT LEARNI,11,0,1,8,0,1,0,0,0,0,0,1
133, ,THESIS,11,0,1,1,0,1,1,0,2,2,1,2
134, ,THESIS MASS I TECH,11,0,0,0,0,0,0,3,0,1,3,4
135,0.874,COMPUT VIS IMAGE UND,10,0,4,1,0,2,3,0,0,0,0,0
136,1.043,COMPUTER,10,0,0,0,2,2,0,0,0,1,0,5
137,1.931,DATA MIN KNOWL DISC,10,0,3,3,3,1,0,0,0,0,0,0
138,0.535,IEEE T POWER SYST,10,0,0,0,2,1,1,1,2,0,0,3
139,0.143,IEICE T INF SYST,10,0,1,1,2,0,4,1,0,1,0,0
140, ,IN PRESS HDB AUTOMAT,10,7,1,0,2,0,0,0,0,0,0,0
141, ,INTELLIGENT DATA ANA,10,0,0,1,8,0,0,0,0,0,0,1
142,0.125,J EXP THEOR ARTIF IN,10,0,0,2,2,0,3,2,0,0,0,1
143, ,MACH LEARN ART,10,0,0,0,0,0,0,0,0,0,0,10
144,1.182,MED INFORM INTERNET,10,0,0,1,3,3,1,1,1,0,0,0
145, ,NATURAL LANGUAGE PRO,10,0,0,0,0,0,0,0,4,0,0,6
146, ,P 1 INT C MULT SYST,10,0,0,0,0,0,10,0,0,0,0,0
147, ,P 4 INT C KNOWL DISC,10,0,0,10,0,0,0,0,0,0,0,0
148, ,P 5 C APPL NAT LANG,10,0,0,0,10,0,0,0,0,0,0,0
149, ,P 5 INT C LOG PROGR,10,0,3,0,0,0,0,1,0,0,0,6
150, ,PARALLEL DISTRIBUTED,10,0,0,0,0,0,0,0,0,0,0,10
151, ,SIGART B,10,0,0,2,0,0,0,2,1,0,5,0
152, ,SPRINGER LNCS,10,0,2,1,0,1,1,0,1,1,0,3
153, ,COGNITION,9,0,0,0,0,0,2,0,1,1,0,5
154,0.635,COMP GEOM-THEOR APPL,9,0,0,2,1,0,1,0,2,1,0,2
155,0.398,COMPUT J,9,0,0,0,0,1,0,1,2,2,0,3
156,0.339,DISCRETE APPL MATH,9,0,2,1,0,0,0,2,0,0,1,3
157, ,IEEE T EVOLUTIONARY,9,0,0,0,9,0,0,0,0,0,0,0
158, ,IN PRESS ARTIFICIAL,9,0,5,2,0,0,0,0,0,0,0,2
159,0.333,INT J HUM-COMPUT ST,9,0,0,1,2,3,1,2,0,0,0,0
160, ,J APPL NONCLASSICAL,9,0,2,3,1,1,2,0,0,0,0,0
161, ,LOGIC COMPUT SCI,9,0,3,1,0,0,1,0,0,0,0,4
162,1.006,OPER RES,9,0,0,1,0,0,0,0,0,1,0,7
163, ,P 12 INT C MACH LEAR,9,0,0,0,0,0,9,0,0,0,0,0
164, ,P 13 NAT C ART INT,9,0,0,0,0,9,0,0,0,0,0,0
165, ,P 16 INT JOINT C ART,9,0,9,0,0,0,0,0,0,0,0,0
166, ,P 5 INT C GEN ALG,9,0,0,0,0,0,0,0,9,0,0,0
167, ,P AAAI 94,9,0,0,0,0,0,0,9,0,0,0,0
168, ,P AAAI 97,9,0,0,0,9,0,0,0,0,0,0,0
169, ,P AAAI 98,9,0,0,9,0,0,0,0,0,0,0,0
170, ,P ACM SIGIR C,9,0,0,3,3,1,0,0,1,1,0,0
171, ,P SOC PHOTO-OPT INS,9,0,3,3,0,2,0,0,0,1,0,0
172, ,READINGS AGENTS,9,0,0,6,3,0,0,0,0,0,0,0
173,0.552,SPEECH COMMUN,9,0,0,2,0,0,0,0,1,1,0,5
174, ,SPRINGER LNAI,9,0,0,0,1,3,0,3,1,0,0,1
175, ,THESIS U CALIF,9,0,0,0,1,0,0,1,1,2,0,4
176, ,ADV INDUCTIVE LOGIC,8,0,0,0,0,8,0,0,0,0,0,0
177,0.222,ARTIF INTELL REV,8,0,0,1,0,2,2,2,1,0,0,0
178, ,ARTIFICIAL NEURAL NE,8,0,0,1,1,0,0,2,2,1,1,0
179, ,AUTOMATED REASONING,8,0,0,0,2,0,0,0,0,1,2,3
180, ,COGNITIVE PROCESS,8,0,0,0,6,0,1,0,0,0,0,1
181,1.674,COMMUN PUR APPL MATH,8,0,0,0,0,0,2,0,0,0,0,6
182, ,COMPLEX SYST,8,0,0,0,0,1,1,0,0,1,1,4
183, ,COMPUT LOGIC,8,0,0,1,0,0,0,0,0,0,0,7
184,0.457,CYBERNET SYST,8,0,0,5,1,1,0,1,0,0,0,0
185, ,DESIGNING AUTONOMOUS,8,0,0,0,0,0,0,0,0,0,1,7
186,3.033,ENVIRON HEALTH PERSP,8,0,0,0,0,8,0,0,0,0,0,0
187, ,ENVIRON PLANN B,8,0,0,1,0,0,0,0,0,0,0,7
188,0.490,EUR J OPER RES,8,0,0,1,0,1,0,2,0,3,0,1
189, ,HLTH TELEMATICS CLIN,8,0,0,0,0,0,8,0,0,0,0,0
190, ,IN PRESS J AUTOMATED,8,3,0,0,0,0,2,0,0,0,0,3
191,2.105,INFORM SYST,8,0,1,1,1,1,1,1,0,0,0,2
192, ,INT J COMPUT INF SCI,8,0,0,0,0,0,0,0,0,0,0,8
193,0.699,INT J MED INFORM,8,0,2,4,2,0,0,0,0,0,0,0
194, ,INTRO HOL THEOREM PR,8,0,0,0,0,0,0,0,8,0,0,0
195,1.226,J AM SOC INFORM SCI,8,0,0,0,0,0,0,0,0,0,0,8
196, ,LOGIC DATABASES,8,0,0,0,0,2,0,0,0,0,0,6
197,1.011,MANAGE SCI,8,0,0,0,0,1,0,0,0,0,0,7
198, ,NOTRE DAME J FORM L,8,0,0,0,0,1,0,0,0,0,0,7
199, ,P 11 INT JOINT C ART,8,0,0,0,0,0,0,0,0,0,0,8
200, ,P 13 INT JOINT C ART,8,0,0,0,0,0,0,0,7,0,0,1
201, ,P 2 INT C PRACT APPL,8,0,0,0,6,1,0,1,0,0,0,0
202, ,P 7 INT C LOG PROGR,8,0,0,0,0,0,0,0,0,0,0,8
203, ,P EUR C SPEECH COMM,8,0,2,0,4,0,0,0,2,0,0,0
204, ,P IJCAI 95,8,0,0,0,0,0,7,0,0,0,0,1
205, ,P INT C AUT FAC GEST,8,0,0,2,0,6,0,0,0,0,0,0
206,1.193,PERCEPTION,8,0,0,1,1,2,0,1,1,0,0,2
207, ,PRINCIPLES DATABASE,8,0,0,0,0,0,0,0,0,0,0,8
208, ,PROOF METHODS MODAL,8,0,0,0,0,0,0,0,0,0,0,8
209, ,PSYCHOL SCI,8,0,0,3,1,0,0,2,1,0,0,1
210,0.415,ROBOT AUTON SYST,8,0,0,0,5,0,3,0,0,0,0,0
211,2.240,SCI AM,8,0,0,0,0,2,0,0,0,3,1,2
212, ,SPATIAL COGNITION,8,3,0,5,0,0,0,0,0,0,0,0
213, ,SPATIAL INFORM,8,0,2,0,2,0,1,0,3,0,0,0
214, ,SPRINGER LECT NOTES,8,0,0,4,3,0,0,0,0,0,0,1
215, ,THESIS U PENN,8,0,0,1,1,0,3,0,2,0,1,0
216,1.822,ULTRASOUND MED BIOL,8,0,0,0,0,0,0,0,0,0,0,8
217,0.504,ALGORITHMICA,7,0,0,0,1,0,0,0,1,1,0,4
218,0.364,ANN OPER RES,7,0,0,0,0,2,0,0,2,0,1,2
219,1.280,AUTOMATICA,7,0,0,1,1,0,1,0,0,1,0,3
220, ,AUTONOMOUS ROBOT VEH,7,0,0,0,0,0,0,0,0,0,0,7
221,14.250,BEHAV BRAIN SCI,7,0,1,0,1,0,0,0,0,0,0,5
222, ,BRIDGING GAP EMPIRIC,7,0,0,0,0,0,0,7,0,0,0,0
223, ,BRIT J PSYCHOL,7,0,0,2,0,0,0,1,0,0,0,4
224, ,CASE BASED REASONING,7,0,0,0,0,2,1,0,4,0,0,0
225, ,COLING 94,7,0,0,0,0,0,0,7,0,0,0,0
226,0.644,COMPUT BIOL MED,7,0,0,1,6,0,0,0,0,0,0,0
227,0.339,COMPUT MATH APPL,7,0,0,0,0,0,2,1,1,2,0,1
228,0.581,COMPUT METH PROG BIO,7,0,0,2,0,0,2,2,0,0,0,1
229, ,COMPUT SURV,7,0,0,0,0,0,0,0,2,2,0,3
230, ,COMPUTERS INTRACTABI,7,0,0,0,1,0,0,0,0,0,0,6
231, ,GESTURE SIGN LANGUAG,7,0,0,7,0,0,0,0,0,0,0,0
232, ,HANDB PHILOS LOGIC,7,0,0,1,1,0,0,0,0,0,0,5
233,0.259,IEE P-GENER TRANSM D,7,0,0,0,3,0,2,2,0,0,0,0
234, ,IEEE INT C AUT FAC G,7,0,0,6,1,0,0,0,0,0,0,0
235,1.488,IEEE T AUTOMAT CONTR,7,0,0,0,1,1,0,0,0,0,0,5
236,2.573,IEEE T MED IMAGING,7,0,0,0,3,2,0,0,0,1,0,1
237,0.720,IEEE T SYST MAN CY B,7,0,0,2,0,4,0,0,0,0,0,1
238, ,IN PRESS INFORMATION,7,0,0,1,0,0,0,0,0,0,0,6
239, ,IN PRESS THEORETICAL,7,2,3,0,1,0,0,0,0,0,0,1
240, ,INFORM RETRIEVA,7,0,0,0,0,0,0,0,0,4,0,3
241, ,INFORMATICA,7,0,1,1,0,0,0,1,3,0,0,1
242, ,INT C AUT FAC GEST R,7,0,0,3,0,4,0,0,0,0,0,0
243,0.988,INT J GEOGR INF SCI,7,0,1,2,1,0,1,0,0,1,1,0
244,0.450,INT J INTELL SYST,7,0,0,0,0,1,0,1,4,0,0,1
245, ,J AM MED INFORM AS S,7,0,0,3,1,3,0,0,0,0,0,0
246, ,J LOGIC LANGUAGE INF,7,0,0,3,0,1,1,0,2,0,0,0
247,15.402,JAMA-J AM MED ASSOC,7,0,0,0,1,0,1,0,1,1,0,3
248, ,KNOWL ACQUIS,7,0,0,0,0,0,0,0,2,4,0,1
249, ,KNOWLEDGE DISCOVERY,7,0,0,0,0,0,0,0,0,0,6,1
250, ,KNOWLEDGE FLUX MODEL,7,0,0,0,0,0,0,0,0,0,0,7
251, ,LOGIC DATA BASES,7,0,0,0,0,0,0,0,0,0,0,7
252, ,LOGIC PROGRAMM,7,0,0,0,0,0,1,1,1,0,0,4
253, ,LOGIQUE ANAL,7,0,1,0,0,2,1,0,0,0,1,2
254,0.502,MATH Z,7,0,0,0,0,0,0,0,0,0,0,7
255, ,NIST SPEC PUBLICA,7,0,0,0,6,0,1,0,0,0,0,0
256, ,P 1 C ASS MACH TRANS,7,0,0,0,0,0,0,7,0,0,0,0
257, ,P 1 INT C LANG RES E,7,0,0,7,0,0,0,0,0,0,0,0
258, ,P 1 INT C MULT AG SY,7,0,0,0,0,0,7,0,0,0,0,0
259, ,P 11 INT C MACH LEAR,7,0,0,0,0,0,0,6,0,0,0,1
260, ,P 12 INT JOINT C ART,7,0,0,0,0,0,0,0,0,0,7,0
261, ,P 4 INT WORKSH ROUGH,7,0,0,0,0,6,0,0,0,0,0,1
262, ,P 8 INT C IND LOG PR,7,0,0,7,0,0,0,0,0,0,0,0
263, ,P AAAI 96,7,0,0,0,0,7,0,0,0,0,0,0
264, ,P IJCAI 91,7,0,0,0,0,0,0,0,0,0,7,0
265, ,P KR 98,7,0,0,6,0,0,0,0,0,0,0,1
266, ,PROG GESTURAL INTER,7,0,0,0,6,1,0,0,0,0,0,0
267, ,ROBOT MOTION PLANNIN,7,0,0,0,0,0,0,0,0,0,7,0
268,1.113,SCI COMPUT PROGRAM,7,0,1,2,1,0,0,0,0,0,0,3
269, ,SIMULATED ANNEALING,7,0,0,0,0,0,0,0,0,4,0,3
270, ,SOFTWARE AGENTS,7,0,0,0,3,3,1,0,0,0,0,0
271,2.000,VISION RES,7,0,0,0,0,0,0,1,0,0,0,6
272, ,1 INT C LANG RES EV,6,0,0,6,0,0,0,0,0,0,0,0
273,0.189,ACM SIGPLAN NOTICES,6,0,0,1,0,0,0,0,0,1,2,2
274, ,ADV NEUR IN,6,0,0,1,2,3,0,0,0,0,0,0
275,0.697,AI COMMUN,6,0,2,1,1,0,0,2,0,0,0,0
276,1.259,ANN STAT,6,0,0,3,0,1,0,0,0,0,1,1
277,0.420,APPL INTELL,6,0,0,0,0,1,0,5,0,0,0,0
278, ,AUTOMATED THEOREM PR,6,0,0,0,0,0,0,0,0,0,0,6
279, ,COLING 92,6,0,0,0,0,0,0,0,0,6,0,0
280, ,CONSTRAINT LOGIC PRO,6,0,0,0,0,0,0,0,5,0,0,1
281, ,COOPERATIVE INFORM,6,0,0,5,1,0,0,0,0,0,0,0
282,0.582,DATA KNOWL ENG,6,0,0,2,0,0,0,3,0,0,0,1
283, ,DOKL AKAD NAUK+,6,0,0,0,0,0,0,0,0,0,0,6
284, ,DYNAMIC PROGRAMMING,6,0,0,0,0,0,1,0,0,0,0,5
285, ,EVOL ALGORIT,6,0,1,0,2,3,0,0,0,0,0,0
286,0.176,EXPERT SYST,6,0,0,0,3,0,0,1,0,0,0,2
287, ,FRONTIERS COMBINING,6,2,0,0,0,4,0,0,0,0,0,0
288, ,FUZZY SET THEORY ITS,6,0,0,0,0,2,0,1,0,0,1,2
289,0.954,HUM FACTORS,6,0,0,2,2,0,0,1,0,0,1,0
290,1.851,IEEE COMMUN MAG,6,0,0,1,2,0,0,0,0,2,0,1
291,1.333,IEEE COMPUT GRAPH,6,0,0,1,1,0,1,0,0,0,0,3
292,0.684,IMAGE VISION COMPUT,6,0,0,1,0,5,0,0,0,0,0,0
293, ,IN PRESS ANN MATH AR,6,0,3,0,0,0,0,0,0,0,0,3
294, ,IN PRESS MACHINE LEA,6,0,0,0,0,0,0,0,0,0,0,6
295, ,IN PRESS SPATIAL COG,6,0,2,0,0,0,0,0,0,0,0,4
296, ,INT DESCR LOG WORKSH,6,0,3,3,0,0,0,0,0,0,0,0
297,1.366,J ACOUST SOC AM,6,0,0,0,0,1,0,0,0,1,0,4
298,1.763,J AM STAT ASSOC,6,0,0,0,1,0,0,1,1,0,0,3
299, ,JLP,6,0,0,0,0,2,1,0,1,1,0,1
300,10.232,LANCET,6,0,0,0,0,0,1,1,1,0,0,3
301, ,NATURAL LANGUAGE UND,6,0,0,0,0,0,2,0,0,0,1,3
302,29.512,NEW ENGL J MED,6,0,0,0,0,0,0,0,3,0,0,3
303, ,P 1 INT C PRACT APPL,6,0,2,0,0,4,0,0,0,0,0,0
304, ,P 10 INT C MACH LEAR,6,0,0,0,0,0,0,0,6,0,0,0
