Citing Journal Data: COGNITIVE PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
75, ,MANUAL RAVENS PROGR,3,0,0,1,0,0,1,0,1,0,0,0
76,2.702,NEUROPSYCHOLOGY,3,0,0,1,1,0,0,1,0,0,0,0
77, ,PSYCHOL TEST B,3,0,0,0,0,0,0,0,0,0,0,3
78,0.898,PSYCHOMETRIKA,3,0,0,0,0,0,0,0,0,0,0,3
79, ,PSYCHON SCI,3,0,0,0,0,0,0,0,0,0,0,3
80,3.106,PSYCHOPHYSIOLOGY,3,0,0,0,0,0,0,0,0,0,0,3
81, ,VISION RES,3,0,0,0,0,0,1,0,0,0,0,2
82, ,12 ANN CUNY C HUM SE,2,0,2,0,0,0,0,0,0,0,0,0
83, ,ADV CON NEUR COMP TH,2,0,0,0,0,0,0,2,0,0,0,0
84, ,ADV PROG MATRICES S,2,0,0,0,0,0,0,0,0,0,0,2
85, ,ADV PSYCHOL HUMAN IN,2,0,0,0,0,0,0,0,0,0,0,2
86,0.929,APPL COGNITIVE PSYCH,2,0,0,0,0,0,0,1,0,0,0,1
87, ,B PSYCHONOMIC SOC,2,0,0,0,0,0,0,0,0,0,0,2
88,0.562,BRIT J MED PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
89, ,CHILDS THEOR MIND,2,0,0,0,0,0,0,0,0,0,0,2
90, ,CLASSICAL CONDITION,2,0,0,0,0,0,0,0,0,0,0,2
91, ,DYNAMIC PATTERNS SEL,2,0,0,0,0,0,2,0,0,0,0,0
92, ,ERRORS LINGUIST PE,2,0,0,0,0,0,0,0,0,0,0,2
93, ,EUR J NEUROSCI,2,0,0,0,1,0,1,0,0,0,0,0
94, ,EXP BRAIN RES,2,0,0,1,0,0,1,0,0,0,0,0
95, ,HDB NEUROPSYCHOLOGY,2,0,0,0,0,0,0,1,1,0,0,0
96,0.577,HUM DEV,2,0,0,0,0,0,0,0,0,2,0,0
97, ,HUM INFORM PR,2,0,0,0,0,0,0,0,0,0,0,2
98, ,IN PRESS MEMORY COGN,2,0,0,0,0,0,0,0,0,0,0,2
99,1.067,J CLIN EXP NEUROPSYC,2,0,0,0,0,0,0,0,0,0,1,1
100,0.353,J EDUC MEAS,2,0,0,0,0,0,0,0,0,0,0,2
101, ,J INT NEUROPSYCH SOC,2,0,0,2,0,0,0,0,0,0,0,0
102,1.056,J MATH PSYCHOL,2,0,0,0,0,0,0,0,0,0,1,1
103, ,J NEUROSCI,2,0,0,0,1,0,0,0,0,0,0,1
104,0.639,LANG SPEECH,2,0,0,0,0,0,0,0,0,0,0,2
105, ,LANGUAGE PROD,2,0,0,0,0,0,0,0,0,0,0,2
106,0.686,LINGUA,2,0,0,0,0,0,0,0,0,0,0,2
107, ,LOS ANGELES TIMES,2,0,0,0,0,0,0,0,2,0,0,0
108, ,MANUAL RAVEN MATRIZE,2,0,0,0,0,0,0,0,0,0,0,2
109,1.522,MEMORY,2,0,1,0,0,1,0,0,0,0,0,0
110, ,MIND MOTION,2,0,0,0,0,0,2,0,0,0,0,0
111, ,NEUROIMAGE,2,0,0,1,0,0,0,0,0,1,0,0
112, ,ORG PERCEPTION ACTIO,2,0,0,0,0,0,0,0,0,0,0,2
113, ,P 14 ANN C COGN SCI,2,0,0,0,0,0,0,0,0,2,0,0
114, ,P 19 ANN C COGN SCI,2,0,0,0,2,0,0,0,0,0,0,0
115, ,P 4 NEUR COMP PSYCH,2,0,0,2,0,0,0,0,0,0,0,0
116, ,PARALLEL DISTRIBUTED,2,0,0,0,0,0,0,0,0,0,0,2
117, ,PATTERN RECOGN,2,0,0,1,0,0,0,0,0,0,0,1
118, ,PHILOS T ROY SOC B,2,0,0,0,1,1,0,0,0,0,0,0
119,2.190,PSYCHOL METHODS,2,0,1,1,0,0,0,0,0,0,0,0
120, ,Q J EXP PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
121, ,RATIONAL MODELS COGN,2,0,0,2,0,0,0,0,0,0,0,0
122, ,SLIPS TONGUE LANGUAG,2,0,0,0,0,0,0,0,0,0,0,2
123, ,SOUND PATTERN ENGLIS,2,0,0,0,0,0,0,0,0,0,1,1
124, ,SPEAKING INTENTION A,2,0,0,0,0,0,0,0,0,0,0,2
125, ,UNIFIED THEORIES COG,2,0,0,0,0,0,0,0,0,0,1,1
126, ,UNSOLVED MYSTERIES M,2,0,0,0,0,2,0,0,0,0,0,0
127,0.295,VIS COGN,2,2,0,0,0,0,0,0,0,0,0,0
128, ,VISION,2,0,0,0,0,0,0,0,0,0,0,2
129, ,VISION MOTOR CONTROL,2,0,0,0,0,0,0,0,0,2,0,0
130, ,WORKING MEMORY,2,0,0,0,0,0,0,0,0,0,0,2
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
