Citing Journal Data: JOURNAL OF MEMORY AND LANGUAGE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
75, ,PSYCHOL LEARN MOTIV,5,0,0,0,0,0,0,0,0,0,0,5
76,0.205,SYNTAX SEMANTICS,5,0,0,0,0,0,0,0,0,0,0,5
77, ,TUTORIALS BILINGUALI,5,0,0,0,5,0,0,0,0,0,0,0
78, ,BEHAV NEUROSCI,4,0,0,0,2,0,1,0,0,0,0,1
79,2.768,CHILD DEV,4,0,0,0,0,0,0,0,1,0,0,3
80, ,COGNITIVE PROCESSING,4,0,0,0,0,0,0,0,0,4,0,0
81,0.871,DEV NEUROPSYCHOL,4,1,1,0,0,1,0,0,0,1,0,0
82, ,ELECTROEN CLIN NEURO,4,0,0,0,0,0,0,0,1,0,0,3
83, ,ELECTROPHYSIOLOGY MI,4,0,0,0,0,0,4,0,0,0,0,0
84, ,FREQUENCY ANAL ENGLI,4,0,0,0,0,0,0,0,0,0,0,4
85, ,J INT NEUROPSYCH SOC,4,0,0,0,0,0,4,0,0,0,0,0
86, ,LANGUAGE PROD,4,0,0,0,0,0,0,0,0,0,0,4
87, ,LOCALIST CONNECTIONI,4,0,0,4,0,0,0,0,0,0,0,0
88, ,NEUROCASE,4,0,0,2,1,0,1,0,0,0,0,0
89, ,P COGNITIVE SCI SOC,4,0,1,0,1,1,1,0,0,0,0,0
90, ,PERCEPTION PRODUCTIO,4,0,0,0,0,0,0,0,0,0,0,4
91, ,READING RES ADV THEO,4,0,0,0,0,0,0,0,0,0,0,4
92, ,SPEAKING INTENTION A,4,0,0,0,0,0,0,0,0,0,0,4
93, ,VISION RES,4,0,0,1,0,2,0,1,0,0,0,0
94, ,ADV INFANCY RES,3,0,0,2,0,0,1,0,0,0,0,0
95, ,ADV PSYCHOPHYSIOLOGY,3,0,0,0,0,0,0,0,0,0,1,2
