,AM J PSYCHOL.csv,ARTIF INTELL.csv,BEHAV BRAIN SCI.csv,BEHAV RES METHODS.csv,BRAIN LANG.csv,BRAIN RES.csv,BRIT J PSYCHOL.csv,CEREB CORTEX.csv,COGN LINGUIST.csv,COGN SYST RES.csv,COGNITION.csv,COGNITIVE PSYCHOL.csv,COGNITIVE SCI.csv,COMPUT EDUC.csv,COMPUT HUM BEHAV.csv,CONTEMP EDUC PSYCHOL.csv,DEV PSYCHOL.csv,DEVELOPMENTAL SCI.csv,EDUC PSYCHOL REV.csv,ETR&D-EDUC TECH RES.csv,INT J HUM-COMPUT ST.csv,INT J SCI EDUC.csv,INTERACT STUD.csv,J CHILD LANG.csv,J COGNITIVE NEUROSCI.csv,J EDUC PSYCHOL.csv,J ENG EDUC.csv,J EXP PSYCHOL GEN.csv,J EXP PSYCHOL HUMAN.csv,J EXP PSYCHOL LEARN.csv,J LEARN SCI.csv,J MEM LANG.csv,J PERS SOC PSYCHOL.csv,LANG COGNITIVE PROC.csv,LEARN INSTR.csv,LECT NOTES ARTIF INT.csv,LECT NOTES COMPUT SC.csv,MED EDUC.csv,MEM COGNITION.csv,MIND MACH.csv,NATURE.csv,NEUROCOMPUTING.csv,P NATL ACAD SCI USA.csv,PHILOS T R SOC B.csv,PSYCHOL BULL.csv,PSYCHOL LEARN MOTIV.csv,PSYCHOL REV.csv,PSYCHOL SCI.csv,PSYCHON B REV.csv,Q J EXP PSYCHOL.csv,REV SIGNOS.csv,SCIENCE.csv,THINK REASONING.csv,TRENDS COGN SCI.csv
PSYCHOL BULL.csv,9.0,0.0,25.0,8.0,16.0,62.0,12.0,35.0,0.0,0.0,44.0,16.0,14.0,0.0,3.0,0.0,40.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,65.0,6.0,0.0,49.0,41.0,73.0,0.0,22.0,164.0,2.0,0.0,0.0,0.0,2.0,40.0,0.0,60.0,0.0,65.0,19.0,156.0,4.0,105.0,46.0,31.0,5.0,0.0,82.0,2.0,44.0
PSYCHOL LEARN MOTIV.csv,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,16.0,9.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,6.0,15.0,0.0,13.0,41.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,2.0,0.0,5.0,2.0,21.0,10.0,3.0,0.0,0.0,3.0,0.0,5.0
PSYCHOL REV.csv,19.0,5.0,18.0,9.0,7.0,9.0,5.0,17.0,0.0,0.0,53.0,80.0,35.0,0.0,2.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,3.0,0.0,78.0,134.0,178.0,0.0,77.0,81.0,7.0,0.0,0.0,0.0,0.0,94.0,0.0,87.0,5.0,41.0,9.0,78.0,13.0,402.0,83.0,102.0,15.0,0.0,73.0,0.0,33.0
PSYCHOL SCI.csv,3.0,0.0,40.0,11.0,4.0,6.0,9.0,13.0,0.0,0.0,95.0,40.0,15.0,0.0,0.0,0.0,34.0,23.0,0.0,0.0,0.0,0.0,0.0,7.0,35.0,9.0,0.0,63.0,57.0,75.0,0.0,41.0,247.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,47.0,0.0,42.0,10.0,80.0,15.0,115.0,242.0,48.0,3.0,0.0,80.0,0.0,78.0
PSYCHON B REV.csv,20.0,3.0,41.0,39.0,11.0,3.0,16.0,3.0,0.0,0.0,65.0,93.0,28.0,0.0,0.0,7.0,12.0,5.0,3.0,0.0,2.0,3.0,0.0,0.0,23.0,24.0,0.0,166.0,304.0,307.0,4.0,137.0,36.0,21.0,0.0,0.0,0.0,0.0,199.0,0.0,46.0,0.0,20.0,2.0,90.0,29.0,231.0,169.0,247.0,28.0,0.0,39.0,8.0,50.0
Q J EXP PSYCHOL.csv,21.0,3.0,19.0,16.0,9.0,0.0,26.0,3.0,0.0,0.0,52.0,53.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,111.0,186.0,233.0,0.0,83.0,15.0,9.0,0.0,0.0,0.0,0.0,156.0,0.0,26.0,0.0,8.0,4.0,60.0,38.0,165.0,67.0,87.0,83.0,0.0,19.0,5.0,36.0
REV SIGNOS.csv,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,9.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,21.0,4.0,2.0,0.0,10.0,0.0,0.0,0.0
SCIENCE.csv,0.0,6.0,10.0,0.0,0.0,22.0,0.0,25.0,0.0,0.0,8.0,9.0,5.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,9.0,5.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2088.0,0.0,1019.0,60.0,15.0,0.0,30.0,24.0,5.0,0.0,0.0,3382.0,0.0,31.0
THINK REASONING.csv,4.0,2.0,9.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,37.0,17.0,17.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,0.0,27.0,0.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,42.0,11.0,7.0,7.0,0.0,9.0,57.0,14.0
TRENDS COGN SCI.csv,6.0,0.0,20.0,0.0,5.0,26.0,2.0,74.0,0.0,0.0,70.0,26.0,2.0,0.0,0.0,0.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,104.0,0.0,0.0,20.0,30.0,24.0,0.0,17.0,58.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,120.0,0.0,120.0,27.0,23.0,0.0,69.0,76.0,15.0,6.0,0.0,159.0,2.0,156.0
