Citing Journal Data: ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
78, ,ICML,5,0,0,0,0,2,1,1,0,0,0,1
79, ,IEEE INT CONF ROBOT,5,0,0,0,0,0,0,1,2,0,0,2
80,2.340,IEEE INTELL SYST,5,0,0,0,1,0,0,0,0,0,3,1
81,2.326,IEEE T INFORM THEORY,5,0,0,0,0,0,0,0,0,0,0,5
82,4.291,IEEE T NEUR NET LEAR,5,0,0,0,1,0,0,0,1,0,0,3
83,2.432,IEEE T ROBOT,5,0,0,0,0,0,0,0,2,0,0,3
84, ,J POLIT ECON,5,0,0,0,0,0,0,0,0,0,0,5
85, ,P 25 INT C MACH LEAR,5,0,0,0,0,0,0,5,0,0,0,0
86, ,P 26 AAAI C ART INT,5,0,0,5,0,0,0,0,0,0,0,0
87, ,P IJCAI,5,0,2,0,0,0,2,0,0,0,0,1
88, ,P INT C AUT AG MUL S,5,0,0,0,1,3,0,0,1,0,0,0
89,1.054,SIGMOD REC,5,0,1,0,0,0,0,0,0,2,1,1
90, ,SOC NETWORKS,5,0,0,0,0,0,0,0,0,0,0,5
91,0.618,ACM T COMPUT LOG,4,0,0,0,0,0,0,0,1,1,0,2
92,1.021,ACM T INFORM SYST,4,0,0,0,0,1,0,0,0,0,0,3
93, ,ADV NEUR IN,4,0,0,0,0,0,0,0,0,0,0,4
94,0.791,ALGORITHMICA,4,1,0,1,0,0,0,0,0,0,0,2
95, ,ANALOGICAL MIND PERS,4,0,0,0,0,0,0,0,0,0,0,4
96, ,ANN MATH STAT,4,0,0,0,0,0,0,0,0,0,0,4
97,2.180,ANN STAT,4,0,0,0,0,0,0,0,1,0,0,3
98,2.111,ARTIF INTELL REV,4,0,0,0,0,0,0,0,0,0,1,3
99, ,AUTOMATED PLANNING T,4,0,0,0,0,0,0,0,0,0,0,4
100, ,FOUND ARTIF INTELL,4,0,0,0,0,0,0,3,0,1,0,0
101,1.986,FUZZY SET SYST,4,0,0,1,0,2,0,0,0,0,1,0
102, ,HDB CONSTRAINT PROGR,4,0,0,0,0,0,0,0,0,4,0,0
103, ,IEEE C EVOL COMPUTAT,4,0,0,0,0,0,0,0,1,0,2,1
104,2.779,IEEE T AUTOMAT CONTR,4,0,0,0,0,0,0,0,0,0,1,3
105,1.659,IEEE T COMPUT,4,0,0,0,0,0,0,0,0,0,0,4
106,1.003,IEEE T COMPUT AID D,4,0,0,1,0,0,0,0,0,1,1,1
107,1.077,INFORMS J COMPUT,4,0,0,1,0,0,0,0,1,0,0,2
108,2.540,INT J ROBOT RES,4,0,0,1,1,0,0,0,0,0,0,2
109, ,INT JOINT C ART INT,4,0,0,0,0,0,0,0,0,0,2,2
110, ,INTRO ALGORITHMS,4,0,0,0,0,0,2,0,0,0,0,2
111, ,J ALGORITHMS,4,0,0,0,0,0,0,0,0,0,0,4
112, ,J APPL NONCLASS LOG,4,0,0,0,1,1,0,0,0,0,0,2
113,1.000,J EXP THEOR ARTIF IN,4,0,0,0,0,0,0,0,0,0,0,4
114,0.738,J MATH ECON,4,0,0,0,0,0,0,0,0,0,0,4
115,0.238,J MATH SOCIOL,4,0,0,0,0,0,0,0,0,0,0,4
116, ,KR,4,0,0,1,0,0,0,1,0,0,0,2
117,41.456,NATURE,4,0,0,0,0,0,0,0,0,0,0,4
118,2.708,NEURAL NETWORKS,4,0,0,0,0,0,0,0,0,0,1,3
119, ,P 12 INT C PRINC KNO,4,0,0,0,0,4,0,0,0,0,0,0
120, ,P 13 INT C PRINC KNO,4,0,0,4,0,0,0,0,0,0,0,0
121, ,P 14 INT C AUT PLANN,4,0,0,0,0,0,0,0,0,0,0,4
122, ,P 20 NAT C ART INT A,4,0,0,0,0,0,0,0,0,0,4,0
