Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
76, ,ANNU M AM EDUC RES,5,0,0,0,0,0,0,1,0,2,1,1
77,1.024,BRIT J EDUC PSYCHOL,5,0,0,0,0,1,1,0,0,1,0,2
78, ,COMPUT NETW,5,0,0,0,0,0,1,0,2,1,0,1
79,0.475,EDUC TECHNOL SOC,5,0,0,0,0,2,1,1,1,0,0,0
80,0.500,EUR J PSYCHOL EDUC,5,0,0,0,0,0,0,0,0,4,0,1
81, ,EXPERT SYST APPL,5,0,0,0,0,4,0,0,0,0,1,0
82,0.608,HIGH EDUC,5,0,1,0,0,0,0,0,0,0,1,3
83,1.476,HUM COMMUN RES,5,0,0,1,0,0,0,0,0,0,0,4
84,1.113,HUM FACTORS,5,0,0,0,0,0,0,2,0,0,2,1
85, ,IEEE T NEURAL NETWOR,5,0,0,0,0,2,0,0,1,2,0,0
86, ,INNOV EDUC TRAIN INT,5,0,0,0,0,0,0,2,0,2,0,1
87, ,INSTRUCTIONAL DES,5,0,0,0,0,0,0,0,0,3,0,2
88, ,INT J ED RES,5,0,0,0,0,0,0,0,0,0,0,5
89, ,INT J INSTRUCTIONAL,5,0,1,1,2,0,0,0,0,0,0,1
90, ,INTELLIGENT TUTORING,5,0,0,0,0,0,0,0,1,0,0,4
91,3.047,J APPL PSYCHOL,5,0,0,0,0,0,0,1,0,1,0,3
92, ,J COMPUTERS MATH SCI,5,0,0,0,1,0,2,0,0,2,0,0
93,3.750,J MARKETING,5,0,0,0,0,0,1,0,0,0,1,3
94,1.739,J MARKETING RES,5,0,0,0,0,0,0,0,0,1,0,4
95, ,J SCI ED TECHNOLOGY,5,0,0,0,0,0,1,2,0,1,1,0
96, ,MIND SOC DEV HIGHER,5,0,0,0,0,0,0,0,0,0,0,5
97, ,MULTIMEDIA LEARN,5,0,0,0,0,0,0,5,0,0,0,0
98, ,P SIGCHI C HUM FACT,5,0,0,0,0,0,0,0,1,0,0,4
99,1.400,PERS INDIV DIFFER,5,0,0,0,0,0,0,0,0,0,0,5
100,7.803,PSYCHOL REV,5,0,0,0,0,0,0,0,0,0,0,5
101,1.028,BEHAV INFORM TECHNOL,4,0,0,0,1,0,0,0,0,1,0,2
102, ,CAN J ED COMMUN,4,0,0,0,0,0,0,0,0,0,0,4
103, ,COMMUN EDUC,4,0,0,0,0,0,0,1,0,1,1,1
104, ,COMPUTERS COGNITIVE,4,0,0,0,0,0,0,0,1,0,0,3
105, ,COOPERATIVE LEARN,4,0,0,0,0,0,0,0,0,0,0,4
106, ,DISSERT ABSTR,4,0,0,0,0,1,0,0,0,0,1,2
107, ,ED PSYCHOL COGNITIVE,4,0,0,0,0,0,0,0,0,0,0,4
108, ,EDUC COMMUN INF,4,0,0,0,3,0,1,0,0,0,0,0
109, ,EDUC INFORM TECHN,4,0,0,0,0,0,1,0,0,2,0,1
110,0.488,EDUC RES-UK,4,0,0,0,0,0,0,0,0,0,0,4
111,1.484,ERGONOMICS,4,0,0,0,0,0,0,1,0,0,0,3
112,0.743,GENDER EDUC,4,0,0,0,0,0,0,3,0,1,0,0
113, ,HDB RES MATH TEACHIN,4,0,0,0,0,0,0,0,0,0,0,4
114,0.962,IEEE T ENG MANAGE,4,0,0,0,1,1,0,0,0,0,0,2
115,0.719,INFORM SOC,4,0,1,0,0,0,0,0,1,1,1,0
116,0.795,INSTR SCI,4,0,0,0,0,0,0,0,0,0,1,3
117,0.375,INT J EDUC DEV,4,0,0,0,1,1,1,1,0,0,0,0
118, ,INTERNET RES,4,0,0,0,0,1,0,0,1,1,1,0
119, ,J AM DIET ASSOC,4,0,0,0,0,0,0,0,0,0,0,4
120,1.055,J APPL DEV PSYCHOL,4,0,0,0,0,0,0,2,0,0,1,1
121,0.657,J APPL SOC PSYCHOL,4,0,0,0,0,0,1,0,0,0,0,3
122, ,J BIOL EDUC,4,0,0,0,0,0,1,0,0,0,0,3
123,1.232,J COMPUT-MEDIAT COMM,4,0,0,1,0,0,0,0,2,0,0,1
124,0.931,J EXP EDUC,4,0,0,0,0,0,1,0,2,0,0,1
125, ,J INSTRUCTIONAL PSYC,4,0,0,0,0,0,1,0,0,2,1,0
126,0.697,J RES MATH EDUC,4,0,0,0,0,0,0,0,0,0,1,3
127, ,LEARN NETWORKS FI,4,0,0,0,0,0,0,0,0,0,0,4
128, ,LECT NOTES ARTIF INT,4,0,0,1,0,1,1,0,0,0,1,0
129,3.130,ORGAN SCI,4,0,0,0,0,0,0,1,0,0,0,3
130, ,P ANN C DIST TEACH L,4,0,0,0,0,0,0,0,0,0,2,2
131,0.387,PERCEPT MOTOR SKILL,4,0,0,0,0,0,0,0,0,0,0,4
132, ,PHYS TEACH,4,0,0,0,0,1,0,0,0,1,0,2
133, ,PSYCHOMETRIC THEOR,4,0,0,0,0,0,0,0,0,0,0,4
134,0.320,READ TEACH,4,0,0,0,0,1,0,0,0,1,0,2
135, ,SITUATED LEARN LE,4,0,0,0,0,0,0,0,0,0,0,4
136, ,SOC FDN THOUGHT A,4,0,0,0,0,0,0,0,0,0,0,4
137,0.556,STUD HIGH EDUC,4,0,0,0,0,0,0,1,0,2,0,1
138, ,THESIS NATL CHANGHUA,4,0,0,0,0,1,1,0,0,0,1,1
139, ,WORLD C ED MULT HYP,4,0,0,0,1,2,0,0,1,0,0,0
140, ,ACCOUNTING ED INT J,3,0,0,0,1,1,0,0,0,1,0,0
141, ,ACM COMPUT SURV,3,0,0,1,0,0,0,0,1,0,0,1
142, ,AM BIOL TEACH,3,0,0,0,0,0,0,0,0,0,0,3
143,3.277,AM SOCIOL REV,3,0,0,0,0,0,0,0,0,0,0,3
144, ,ANN M NAT ASS RES SC,3,0,0,0,0,0,0,0,0,0,1,2
145, ,APPL ARTIF INTELL,3,0,0,0,0,0,1,0,0,1,0,1
146,1.257,APPL COGNITIVE PSYCH,3,0,0,0,0,0,0,0,0,0,0,3
147, ,AUST J ED TECHNOLOG,3,0,0,0,0,0,0,1,1,1,0,0
148, ,BUILDING LEARN CO,3,0,0,0,0,0,0,0,0,3,0,0
149, ,CAMPUS WIDE INFORM S,3,0,0,0,0,1,1,0,0,0,0,1
150, ,CHRON HIGHER EDUC,3,0,0,0,0,0,0,1,2,0,0,0
151,4.026,COGNITIVE PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
152, ,COGNITIVE TOOLS LEAR,3,0,0,0,0,0,0,0,0,0,0,3
153, ,COMMUNICATIONS ASS I,3,0,0,0,0,2,0,0,1,0,0,0
154, ,COMPUT MEDIATED CO,3,0,0,0,0,0,0,0,0,0,0,3
155, ,COMPUT SUPPORTED C,3,0,0,0,1,1,1,0,0,0,0,0
156, ,COMPUTERS COMPOS,3,0,0,0,0,0,1,0,1,0,1,0
157, ,COMPUTERS TALK PRIMA,3,0,0,0,0,0,0,0,0,0,0,3
158, ,CONSTRUCTIONISM PRAC,3,0,0,0,0,0,0,0,0,0,0,3
159, ,DIDASKALIA,3,0,0,0,0,0,0,0,2,1,0,0
160, ,DISTANCE EDUC,3,0,0,0,0,0,0,0,0,0,0,3
161,1.062,EDUC EVAL POLICY AN,3,0,0,0,0,0,0,0,0,0,0,3
162,1.516,EDUC PSYCHOL REV,3,0,0,0,0,0,0,0,0,0,2,1
163,1.062,ELEM SCHOOL J,3,0,0,0,0,0,0,0,2,0,1,0
164, ,EUR J OPEN DIST,3,0,0,0,0,0,2,0,0,1,0,0
165,4.758,FUTURE CHILD,3,0,0,0,0,0,0,0,3,0,0,0
166,0.526,GROUP DECIS NEGOT,3,0,0,0,0,0,0,0,1,2,0,0
167,1.103,HUM RELAT,3,0,0,0,0,0,0,0,0,0,0,3
168, ,ICALT 2003,3,0,0,0,0,3,0,0,0,0,0,0
169, ,IEEE INT WORKSH WIR,3,0,0,0,0,0,3,0,0,0,0,0
170, ,INFORM SOFTWARE TECH,3,0,0,0,0,0,0,0,0,1,0,2
171, ,INFORM TECHNOL CH,3,0,0,0,0,0,1,1,0,1,0,0
172,0.180,INNOV EDUC TEACH INT,3,0,0,0,0,1,2,0,0,0,0,0
173, ,INSTRUCTIONAL USE LE,3,0,0,0,0,0,0,0,3,0,0,0
174, ,INT J CONTINUING ENG,3,0,0,2,0,0,0,0,0,1,0,0
175, ,INT J ENG EDUC,3,0,0,0,0,0,0,0,2,0,1,0
176,0.381,INT J HUM-COMPUT INT,3,0,0,0,0,0,0,0,0,0,0,3
177, ,INT REV RES OPEN DIS,3,0,0,0,0,0,2,0,1,0,0,0
178,0.407,INTERACT LEARN ENVIR,3,0,0,1,0,0,0,0,0,1,0,1
179, ,J COLL SCI TEACH,3,0,0,0,0,0,1,0,0,0,1,1
180, ,J COMPUT-BASE INSTR,3,0,0,0,0,0,0,0,0,0,0,3
