Cited Journal Data: HUMAN FACTORS,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
76,,ANESTHESIOLOGY,3,0,0,0,0,0,0,0,1,0,0,2
77,,ARCH PHYS MED REHAB,3,0,0,0,0,0,0,0,0,0,0,3
78,1.053,BRIT J PSYCHOL,3,0,1,0,0,0,0,0,0,0,0,2
79,,CLIN NEUROPHYSIOL,3,0,0,1,0,0,0,0,0,0,0,2
80,,COMP PSYCH,3,0,0,0,0,0,0,0,0,0,0,3
81,0.473,DECISION SCI,3,0,0,0,0,0,0,0,2,0,0,1
82,0.535,DISABIL REHABIL,3,0,0,0,0,0,0,0,0,0,0,3
83,0.973,ENVIRON BEHAV,3,0,0,0,0,0,0,0,0,0,0,3
84,,EXP AGING RES,3,0,0,0,0,0,0,0,0,0,0,3
85,,IEEE ENG MED BIOL,3,0,0,0,0,0,0,0,0,1,0,2
86,,IEEE T BIO-MED ENG,3,0,0,0,0,0,0,0,0,0,0,3
87,,IEEE T REHABIL ENG,3,0,0,0,0,0,0,0,0,1,0,2
88,1.489,INT J PSYCHOPHYSIOL,3,0,0,0,0,0,0,2,0,0,0,1
89,3.636,J EXP PSYCHOL GEN,3,0,0,0,0,0,0,1,0,0,0,2
90,0.683,J OCCUP REHABIL,3,0,0,0,0,1,0,0,0,0,0,2
91,,J SLEEP RES,3,0,0,0,0,0,0,1,0,0,0,2
92,,LECT NOTES COMPUT SC,3,0,0,0,0,0,0,1,0,0,0,2
93,,MINIM INVASIV THER,3,0,0,1,0,1,1,0,0,0,0,0
94,,OCCUP MED-STATE ART,3,0,0,0,0,1,0,1,0,0,0,1
95,,P AMER CONTR CONF,3,0,0,0,0,0,0,0,0,0,0,3
96,,PHYS THER,3,0,0,0,1,1,0,0,0,1,0,0
97,,SCI SPORT,3,0,0,0,0,0,0,0,0,0,0,3
98,,TRENDS COGN SCI,3,0,0,0,0,0,0,0,0,0,0,3
99,0.458,Z GERONTOL GERIATR,3,0,1,1,0,1,0,0,0,0,0,0
100,,ACTA ASTRONAUT,2,0,0,1,0,0,1,0,0,0,0,0
101,,ACUSTICA,2,0,0,0,0,1,0,0,0,0,0,1
102,,AIHAJ,2,0,0,0,0,0,1,0,0,1,0,0
103,,AM J EPIDEMIOL,2,0,0,0,0,0,0,0,0,1,1,0
104,,AM J PREV MED,2,0,0,1,0,0,0,0,0,0,0,1
105,3.269,AM J PUBLIC HEALTH,2,0,0,0,0,0,0,1,0,0,0,1
106,,APPL OPTICS,2,0,0,0,2,0,0,0,0,0,0,0
107,,ARTIF INTELL REV,2,0,0,0,0,0,0,0,0,0,0,2
