COGNITIVE SCIENCE
MEMORY & COGNITION
COGNITION
JOURNAL OF MEMORY AND LANGUAGE
PSYCHOLOGICAL REVIEW
DEVELOPMENTAL SCIENCE
PSYCHONOMIC BULLETIN & REVIEW
EDUCATIONAL PSYCHOLOGY REVIEW
LEARN INSTR
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION
Cognitive Systems Research
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL
COMPUTERS IN HUMAN BEHAVIOR
THINKING & REASONING
PSYCHOLOGICAL SCIENCE
BRAIN AND LANGUAGE
PSYCHOLOGICAL BULLETIN
DEVELOPMENTAL PSYCHOLOGY
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES
COGNITIVE PSYCHOLOGY
ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT
JOURNAL OF THE LEARNING SCIENCES
CONTEMPORARY EDUCATIONAL PSYCHOLOGY
INTERNATIONAL JOURNAL OF SCIENCE EDUCATION
JOURNAL OF EDUCATIONAL PSYCHOLOGY
QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY
Behavior Research Methods
BRITISH JOURNAL OF PSYCHOLOGY
COGNITIVE LINGUISTICS
COMPUTERS & EDUCATION
JOURNAL OF ENGINEERING EDUCATION
LANGUAGE AND COGNITIVE PROCESSES
PSYCHOLOGICAL REVIEW
COGNITION
COGNITIVE SCIENCE
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION
JOURNAL OF MEMORY AND LANGUAGE
COGNITIVE PSYCHOLOGY
BEHAVIORAL AND BRAIN SCIENCES
MEMORY & COGNITION
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL
PSYCHOLOGICAL BULLETIN
PSYCHOLOGICAL SCIENCE
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE
TRENDS IN COGNITIVE SCIENCES
JOURNAL OF CHILD LANGUAGE
PSYCHONOMIC BULLETIN & REVIEW
JOURNAL OF COGNITIVE NEUROSCIENCE
PSYCHOLOGY OF LEARNING AND MOTIVATION-ADVANCES IN RESEARCH AND THEORY
AMERICAN JOURNAL OF PSYCHOLOGY
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
LANGUAGE AND COGNITIVE PROCESSES
